GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Recklinghausen,Kreis,63,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,70,,,,,,,,,,,,,,,
Regen,Landkreis,18,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,20,,,,,,,,,,,,,,,
Regensburg,Kreisfreie Stadt,17,https://www.regensburg.de/aktuelles/coronavirus,38,,,,,,,,,,,,,,,
Regensburg,Landkreis,19,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,27,,,,,,,,,,,,,,,
Region Hannover,Landkreis,138,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,198,,,,,18.03.2020 14:05,,,,,,,,,,
Regionalverband Saarbrücken,Landkreis,27,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/aktuell-27-bestaetigte-coronavirus-erkrankte-im-regionalverband/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=dbd9b39722210833eabe8e14303aafd1,61,,,,,,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,,,,,,,,,
Rems-Murr-Kreis,Landkreis,54,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,68,,,,,18.03.2020 18:15,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,,,,,,,,,
Remscheid,Kreisfreie Stadt,15,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,15,,,,,,,,,,,,,,,
Rendsburg-Eckernförde,Kreis,13,https://www.kreis-rendsburg-eckernfoerde.de/service/aktuelles-coronavirus/,13,,,,,,,,,,,,,,,
Reutlingen,Landkreis,43,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,43,,,,,,,,,,,,,,,
Rhein-Erft-Kreis,Kreis,89,https://www.rhein-erft-kreis.de/coronavirus,89,,,,,,,,,,,,,,,
Rhein-Hunsrück-Kreis,Landkreis,28,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,33,,,,,18.03.2020 16:00,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,@melittamann68,,,,,,,,
Rhein-Kreis Neuss,Kreis,50,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,50,,,,,,,,,,,,,,,
Rhein-Lahn-Kreis,Landkreis,15,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-15-3/,26,,,,,18/03/2020 16:30,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-18-3/,,,,,,,,,
Rhein-Neckar-Kreis,Landkreis,109,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",124,,,,,18.03.2020,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",,,,,,,,,
Rhein-Pfalz-Kreis,Landkreis,3,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/,5,,,,,18/03/2020 16:30,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,,,,,,,,,
Rhein-Sieg-Kreis,Kreis,111,https://www.rhein-sieg-kreis.de/corona,158,,,,,,,,,,,,,,,
Rheingau-Taunus-Kreis,Landkreis,25,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,25,,,,,,,,,,,,,,,
